"","player_name","club_name","recent_GW","minutes","position_index","goals_scored","assists","clean_sheets","total_points"
"205","Joël Veltman","Brighton & Hove Albion",12,622,2,0,0,1,16
"206","Joel Ward","Crystal Palace",12,450,2,0,0,1,9
"207","Joelinton Cássio Apolinário de Lira","Newcastle United",11,577,5,1,2,1,26
"208","Johann Berg Gudmundsson","Burnley FC",11,239,4,0,0,2,9
"209","John Egan","Sheffield United",12,911,2,0,0,0,8
"210","John Fleck","Sheffield United",12,539,3,0,0,0,13
"211","John Lundstram","Sheffield United",12,726,3,0,1,1,18
"212","John McGinn","Aston Villa",10,900,3,1,5,5,43
"213","John Stones","Manchester City",11,360,2,0,0,3,22
"214","Jonjo Shelvey","Newcastle United",11,611,3,0,0,2,14
"215","Jonjoe Kenny","Everton FC",12,76,2,0,0,0,3
"216","Jonny Evans","Leicester City",12,799,2,0,0,3,20
"217","Jordan Ayew","Crystal Palace",12,600,5,1,1,2,25
"218","Jordan Henderson","Liverpool FC",12,685,3,0,2,1,25
"219","Jordan Pickford","Everton FC",12,990,1,0,0,2,34
"220","Jorge Luiz Frello Filho","Chelsea FC",12,455,3,3,2,2,37
"221","Josh Brownhill","Burnley FC",11,900,3,0,0,4,23
"222","Josh Onomah","Fulham FC",12,131,4,0,0,0,3
"223","Juan Mata","Manchester United",11,318,4,0,3,1,18
"224","Kai Havertz","Chelsea FC",12,690,4,1,2,3,31
"225","Kalvin Phillips","Leeds United",12,810,3,0,2,3,26
"226","Karl Darlow","Newcastle United",11,990,1,0,0,2,46
"227","Karlan Grant","West Bromwich Albion",8,569,5,1,0,3,22
"228","Kasper Schmeichel","Leicester City",12,1080,1,0,0,4,49
"229","Kean Bryan","Sheffield United",3,152,2,0,0,0,3
"230","Keinan Davis","Aston Villa",10,28,5,0,0,0,1
"231","Kelechi Iheanacho","Leicester City",12,142,5,0,0,1,6
"232","Kenny Tete","Fulham FC",12,128,2,0,1,0,2
"233","Kepa Arrizabalaga","Chelsea FC",12,270,1,0,0,0,6
"234","Kevin De Bruyne","Manchester City",11,832,4,2,6,4,56
"235","Kevin Long","Burnley FC",11,540,2,0,0,1,11
"236","Ki-Jana Hoever","Wolverhampton Wanderers",10,29,2,0,0,0,2
"237","Kieran Gibbs","West Bromwich Albion",12,180,2,0,0,0,1
"238","Kieran Tierney","Arsenal FC",12,980,2,0,0,3,29
"239","Kurt Zouma","Chelsea FC",12,990,2,4,0,5,69
"240","Kyle Bartley","West Bromwich Albion",12,720,2,1,0,1,18
"241","Kyle Edwards","West Bromwich Albion",12,114,4,0,0,0,5
"242","Kyle Walker","Manchester City",11,887,2,1,1,4,46
"243","Kyle Walker-Peters","Southampton FC",12,1080,2,0,2,5,46
"244","Leander Dendoncker","Wolverhampton Wanderers",12,901,3,0,2,5,30
"245","Leandro Trossard","Brighton & Hove Albion",12,661,4,1,2,2,30
"246","Lewis Dunk","Brighton & Hove Albion",12,810,2,0,0,1,11
"247","Liam Cooper","Leeds United",12,810,2,0,0,3,21
"248","Lucas Digne","Everton FC",12,701,2,0,5,1,34
"249","Lucas Rodrigues Moura da Silva","Tottenham Hotspur",12,371,4,1,0,1,20
"250","Luka Milivojevic","Crystal Palace",12,385,3,0,0,0,7
"251","Lukasz Fabianski","West Ham United",12,1080,1,0,0,4,58
"252","Luke Ayling","Leeds United",12,1059,2,0,0,4,30
"253","Luke Shaw","Manchester United",11,696,2,0,1,2,23
"254","Luke Thomas","Leicester City",12,180,2,0,0,0,2
"255","Lys Mousset","Sheffield United",12,36,5,0,0,0,2
"256","Mamadou Sakho","Crystal Palace",12,275,2,0,0,0,4
"257","Manuel Lanzini","West Ham United",12,61,4,1,0,0,9
"258","Marc Albrighton","Leicester City",12,440,3,0,1,1,16
"259","Marcos Alonso","Chelsea FC",12,225,2,0,0,0,3
"260","Marcus Rashford","Manchester United",11,933,4,3,4,3,52
"261","Marek Rodák","Fulham FC",12,90,1,0,0,0,1
"262","Mario Lemina","Fulham FC",12,334,3,0,0,0,10
"263","Mark Noble","West Ham United",12,88,3,0,0,0,6
"264","Marvelous Nakamba","Aston Villa",10,14,3,0,0,0,2
"265","Mason Greenwood","Manchester United",11,482,4,1,0,1,18
"266","Mason Holgate","Everton FC",12,261,2,0,0,1,8
"267","Mason Mount","Chelsea FC",12,899,4,1,4,3,45
"268","Matej Vydra","Burnley FC",11,159,5,0,0,0,8
"269","Mateo Kovacic","Chelsea FC",12,484,3,0,1,2,18
"270","Mateusz Klich","Leeds United",12,1056,3,3,3,4,52
"271","Matheus Pereira","West Bromwich Albion",12,785,4,1,2,2,29
"272","Mathew Ryan","Brighton & Hove Albion",12,990,1,0,0,2,25
"273","Matt Doherty","Tottenham Hotspur",12,525,2,0,1,2,24
"274","Matt Phillips","West Bromwich Albion",12,264,4,0,1,0,14
"275","Matt Ritchie","Newcastle United",11,180,2,0,0,0,5
"276","Matt Targett","Aston Villa",10,900,2,0,1,5,35
"277","Matthew Longstaff","Newcastle United",11,29,3,0,0,0,1
"278","Matthew Lowton","Burnley FC",11,630,2,0,0,3,24
"279","Max Kilman","Wolverhampton Wanderers",12,552,2,0,1,3,33
"280","Max Lowe","Sheffield United",12,413,2,0,0,0,7
"281","Maxime Le Marchand","Fulham FC",12,122,2,0,0,0,1
"282","Michael Hector","Fulham FC",12,237,2,0,0,0,0
"283","Michael Keane","Everton FC",12,1080,2,2,0,2,38
"284","Michael Obafemi","Southampton FC",12,13,5,0,0,0,1
"285","Michail Antonio","West Ham United",12,526,5,3,0,2,28
"286","Michy Batshuayi","Crystal Palace",12,386,5,0,2,1,18
"287","Miguel Almirón","Newcastle United",11,567,4,1,1,2,27
"288","Mohamed Naser El Sayed Elneny","Arsenal FC",12,540,3,0,0,2,13
"289","Mohamed Salah","Liverpool FC",12,955,4,10,3,3,95
"290","Moussa Djenepo","Southampton FC",12,500,4,1,2,2,24
"291","Moussa Sissoko","Tottenham Hotspur",12,842,3,0,0,5,24
"292","N'Golo Kanté","Chelsea FC",12,1072,3,0,1,5,30
"293","Nampalys Mendy","Leicester City",12,942,3,0,1,4,27
"294","Nathan Aké","Manchester City",11,289,2,1,0,1,13
"295","Nathan Redmond","Southampton FC",12,338,4,1,0,1,16
"296","Nathan Tella","Southampton FC",12,48,4,0,0,0,3
"297","Nathaniel Clyne","Crystal Palace",8,611,2,0,1,1,19
"298","Nathaniel Phillips","Liverpool FC",7,180,2,0,0,0,4
"299","Neal Maupay","Brighton & Hove Albion",12,849,5,4,1,2,42
"300","Neco Williams","Liverpool FC",12,171,2,0,0,1,8
"301","Neeskens Kebano","Fulham FC",12,115,4,0,0,0,5
"302","Nélson Cabral Semedo","Wolverhampton Wanderers",10,869,2,0,0,3,29
"303","Nemanja Matic","Manchester United",11,344,3,0,1,1,12
"304","Nick Pope","Burnley FC",11,900,1,0,0,4,53
"305","Nicolas Pépé","Arsenal FC",12,277,4,1,0,0,13
"306","Niels Nkounkou","Everton FC",9,68,2,0,0,0,1
"307","Odion Ighalo","Manchester United",11,9,5,0,0,0,1
"308","Ola Aina","Fulham FC",9,810,2,1,0,1,28
"309","Oleksandr Zinchenko","Manchester City",11,12,2,0,0,0,1
"310","Oliver Burke","Sheffield United",12,407,4,0,0,1,11
"311","Oliver McBurnie","Sheffield United",12,776,5,1,1,0,27
"312","Oliver Norwood","Sheffield United",12,421,3,0,0,0,11
"313","Olivier Giroud","Chelsea FC",12,215,5,1,0,0,13
"314","Ollie Watkins","Aston Villa",10,900,5,6,1,5,51
"315","Oluwasemilogo Adesewo Ibidapo Ajayi","West Bromwich Albion",12,990,2,0,0,1,16
"316","Oriol Romeu Vidal","Southampton FC",12,1035,3,1,1,5,36
"317","Oskar Buur","Wolverhampton Wanderers",12,22,2,0,0,0,1
"318","Pablo Fornals","West Ham United",12,989,3,2,4,4,53
"319","Pablo Hernández Domínguez","Leeds United",12,153,4,0,0,0,6
"320","Pascal Groß","Brighton & Hove Albion",12,612,4,2,2,1,39
"321","Pascal Struijk","Leeds United",12,254,2,0,0,0,2
"322","Patrick Bamford","Leeds United",12,1013,5,8,3,4,75
"323","Patrick van Aanholt","Crystal Palace",12,558,2,0,2,0,16
"324","Paul Pogba","Manchester United",11,551,3,1,0,1,24
"325","Pedro Lomba Neto","Wolverhampton Wanderers",12,924,4,3,3,4,55
"326","Phil Bardsley","Burnley FC",11,270,2,0,0,0,1
"327","Phil Foden","Manchester City",11,426,3,2,2,1,31
"328","Phil Jagielka","Sheffield United",12,90,2,0,0,0,1
"329","Pierre-Emerick Aubameyang","Arsenal FC",12,1076,5,2,1,3,37
"330","Pierre-Emile Højbjerg","Tottenham Hotspur",12,1080,3,0,1,5,31
"331","Raheem Sterling","Manchester City",11,819,4,3,2,4,50
"332","Raphael Dias Belloli","Leeds United",8,414,4,1,0,2,18
"333","Raúl Jiménez","Wolverhampton Wanderers",12,824,5,4,1,4,43
"334","Reece James","Chelsea FC",12,903,2,1,2,4,53
"335","Reiss Nelson","Arsenal FC",12,70,4,0,0,0,2
"336","Rekeem Harper","West Bromwich Albion",12,21,3,0,0,0,1
"337","Rhian Brewster","Sheffield United",12,331,5,0,0,0,10
"338","Richarlison de Andrade","Everton FC",12,726,5,1,5,2,37
"339","Riyad Mahrez","Manchester City",11,746,4,4,1,5,52
"340","Rob Holding","Arsenal FC",12,765,2,0,0,3,24
"341","Robbie Brady","Burnley FC",11,358,3,1,0,2,19
"342","Robert Sánchez","Brighton & Hove Albion",6,90,1,0,0,0,1
"343","Roberto Firmino","Liverpool FC",12,960,5,2,2,3,39
"344","Robin Koch","Leeds United",12,908,2,0,0,4,32
"345","Robin Olsen","Everton FC",8,90,1,0,0,0,1
"346","Rodrigo Hernandez","Manchester City",11,945,3,0,0,4,23
"347","Rodrigo Moreno","Leeds United",12,452,5,1,1,1,23
"348","Romain Saïss","Wolverhampton Wanderers",12,607,2,1,0,4,40
"349","Romaine Sawyers","West Bromwich Albion",12,689,3,0,0,1,17
"350","Ross Barkley","Aston Villa",11,494,3,2,1,2,32
"351","Rúben Diogo da Silva Neves","Wolverhampton Wanderers",12,714,3,0,0,3,20
"352","Ruben Loftus-Cheek","Fulham FC",12,483,3,1,0,3,21
"353","Rúben Santos Gato Alves Dias","Manchester City",9,789,2,0,0,5,35
"354","Rui Pedro dos Santos Patrício","Wolverhampton Wanderers",12,1080,1,0,0,4,47
"355","Ryan Bertrand","Southampton FC",12,978,2,0,0,4,35
"356","Ryan Fraser","Newcastle United",11,185,4,0,2,1,13
"357","Ryan Fredericks","West Ham United",12,228,2,0,1,0,4
"358","Sadio Mané","Liverpool FC",12,913,4,4,4,3,58
"359","Saïd Benrahma","West Ham United",7,162,4,0,2,0,12
"360","Sam Field","West Bromwich Albion",12,61,3,0,0,0,3
"361","Sam Johnstone","West Bromwich Albion",12,1080,1,0,0,2,43
"362","Sander Berge","Sheffield United",12,1004,3,1,1,0,28
"363","Scott Dann","Crystal Palace",12,540,2,1,0,1,20
"364","Scott McTominay","Manchester United",11,673,3,0,0,2,18
"365","Sead Kolasinac","Arsenal FC",12,90,2,0,0,0,2
"366","Seamus Coleman","Everton FC",12,447,2,0,1,1,16
"367","Sean Longstaff","Newcastle United",11,464,3,0,0,1,12
"368","Sébastien Haller","West Ham United",12,528,5,2,0,2,27
"369","Serge Aurier","Tottenham Hotspur",12,540,2,1,1,3,34
"370","Sergio Agüero","Manchester City",11,109,5,0,0,1,3
"371","Sergio Reguilón","Tottenham Hotspur",10,713,2,0,2,4,35
"372","Shane Long","Southampton FC",12,61,5,0,0,0,8
"373","Shkodran Mustafi","Arsenal FC",12,44,2,0,0,0,2
"374","Steven Alzate","Brighton & Hove Albion",12,385,3,0,0,1,10
"375","Steven Bergwijn","Tottenham Hotspur",12,486,4,0,0,4,16
"376","Stuart Armstrong","Southampton FC",12,870,4,2,2,5,43
"377","Stuart Dallas","Leeds United",12,1070,2,1,1,4,40
"378","Takumi Minamino","Liverpool FC",12,193,4,0,0,0,8
"379","Tammy Abraham","Chelsea FC",12,578,5,3,2,4,40
"380","Tanguy Ndombele","Tottenham Hotspur",12,610,3,1,1,6,31
"381","Tariq Lamptey","Brighton & Hove Albion",12,810,2,1,3,1,29
"382","Theo Walcott","Southampton FC",12,606,4,1,3,2,31
"383","Thiago Alcántara do Nascimento","Liverpool FC",11,135,3,0,0,0,3
"384","Thiago Silva","Chelsea FC",12,702,2,1,0,4,37
"385","Thomas Partey","Arsenal FC",8,277,3,0,0,1,7
"386","Tim Ream","Fulham FC",12,450,2,0,0,0,7
"387","Timo Werner","Chelsea FC",12,1023,5,4,4,5,57
"388","Timothy Castagne","Leicester City",12,540,2,1,3,2,35
"389","Timothy Fosu-Mensah","Manchester United",11,80,2,0,0,0,0
"390","Toby Alderweireld","Tottenham Hotspur",12,710,2,0,0,4,34
"391","Tom Cairney","Fulham FC",12,694,3,1,1,1,25
"392","Tom Davies","Everton FC",12,172,3,0,0,1,9
"393","Tomas Soucek","West Ham United",12,1080,3,3,1,4,49
"394","Tosin Adarabioyo","Fulham FC",8,720,2,0,0,1,16
"395","Trent Alexander-Arnold","Liverpool FC",12,779,2,0,1,1,24
"396","Tyler Roberts","Leeds United",12,231,4,0,0,0,7
"397","Tyrick Mitchell","Crystal Palace",12,540,2,0,1,1,15
"398","Tyrone Mings","Aston Villa",10,900,2,2,1,5,52
"399","Vicente Guaita","Crystal Palace",12,1080,1,0,0,1,32
"400","Victor Lindelöf","Manchester United",11,900,2,0,0,3,30
"401","Virgil van Dijk","Liverpool FC",12,370,2,1,0,1,16
"402","Vitor Ferreira","Wolverhampton Wanderers",12,37,4,0,0,0,4
"403","Vladimir Coufal","West Ham United",9,804,2,0,2,3,36
"404","Wes Morgan","Leicester City",12,16,2,0,0,0,3
"405","Wesley Fofana","Leicester City",9,720,2,0,0,3,26
"406","Wilfred Ndidi","Leicester City",12,280,3,0,0,2,9
"407","Wilfried Zaha","Crystal Palace",12,890,4,7,3,1,74
"408","Willian Borges Da Silva","Arsenal FC",12,792,4,0,4,2,37
"409","Willy Boly","Wolverhampton Wanderers",12,990,2,0,0,4,34
"410","Willy Caballero","Chelsea FC",12,90,1,0,0,0,1
"411","Xherdan Shaqiri","Liverpool FC",12,51,4,0,1,0,5
"412","Yerry Mina","Everton FC",12,900,2,1,0,2,28
"413","Youri Tielemans","Leicester City",12,1080,3,3,0,4,43
"414","Yves Bissouma","Brighton & Hove Albion",12,969,3,1,0,2,24
